HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
71915,"71-80","w",1,"13","Mischling klein",,,,"K",2002,"m","grau"
72136,"51-60","m",7,"72","Labrador Retriever",,,,"I",2007,"m","choco"
72355,"61-70","m",1,"11","Foxterrier",,,,"K",2005,"m","tricolor"
72580,"41-50","m",10,"102","Prager Rattler",,,,"K",2013,"m","braun"
72580,"41-50","m",10,"102","Prager Rattler",,,,"K",2013,"m","hellbraun"
80006,"61-70","m",3,"31","Appenzeller Sennenhund","Mischling",,,"I",2005,"m","schwarz/weiss/braun"
80007,"71-80","m",11,"111","Labrador Retriever",,,,"I",2006,"m","blondfarben"
80011,"41-50","w",12,"123","Malteser","Mischling",,,"K",2004,"m","weiss"
80011,"41-50","w",12,"123","Papillon","Mischling",,,"K",2001,"w","schwarz"
80011,"41-50","w",12,"123","Jura Laufhund","Mischling",,,"I",2003,"m","schwarz/braun/weiss"
80011,"41-50","w",12,"123","Yorkshire Terrier",,,,"K",2009,"m","tricolor"
80017,"61-70","m",6,"61","Labrador Retriever",,,,"I",2006,"w","schwarz"
80017,"61-70","m",6,"61","Spanischer Wasserhund",,,,"I",2004,"w","braun/weiss"
80021,"41-50","w",11,"111","Labrador Retriever",,,,"I",2011,"w","schwarz"
80023,"61-70","m",11,"111","Border Collie",,,,"I",2001,"m","schwarz/weiss"
80023,"61-70","m",11,"111","Border Collie",,,,"I",2010,"m","tricolor"
80028,"41-50","w",10,"101","Border Collie",,"Deutscher Schäfer",,"I",2015,"w","tricolor"
80056,"81-90","m",7,"74","Labrador Retriever",,,,"I",2006,"w","schwarz"
80059,"71-80","w",12,"123","Französische Bulldogge",,,,"K",2007,"w","weiss"
80068,"51-60","m",9,"91","Bayerischer Gebirgsschweisshund",,,,"I",2011,"m","hirschrot mit Maske"
80096,"51-60","w",11,"111","Malteser",,,,"K",2004,"m","weiss"
80097,"61-70","m",6,"61","Jack Russel Terrier",,,,"K",2006,"m","schwarz/weiss"
80099,"71-80","m",12,"123","Pinscher",,,,"K",2002,"m","rot"
80106,"61-70","w",9,"91","Labrador Retriever",,"Golden Retriever",,"I",2009,"m","schwarz"
80127,"41-50","w",10,"101","American Bulldog",,,,"I",2005,"w","weiss"
80141,"51-60","m",11,"111","Schnauzer","Mischling",,,"I",2002,"w","grau/braun"
80143,"71-80","w",9,"92","Yorkshire Terrier",,,,"K",2007,"w","schwarz/braun"
80157,"71-80","w",11,"111","Mischling klein",,,,"K",2003,"w","braun/weiss"
80162,"51-60","m",12,"123","Bouvier",,,,"I",2008,"w","schwarz"
80162,"51-60","m",12,"123","Parson Jack Russell Terrier",,,,"K",2008,"m","weiss/rot"
80168,"61-70","m",11,"119","Labrador Retriever",,,,"I",2005,"m","beige"
80169,"41-50","w",4,"42","Jack Russel Terrier",,"Wolfspitz",,"K",2014,"m","schwarz"
80169,"41-50","w",4,"42","Jack Russel Terrier","Mischling",,,"K",2007,"w","tricolor"
80172,"51-60","m",9,"91","Labrador Retriever",,,,"I",2008,"m","schwarz"
80185,"41-50","m",10,"102","Labrador Retriever",,,,"I",2010,"w","blondfarben"
80187,"51-60","w",3,"31","Golden Retriever",,,,"I",2003,"w","blondfarben"
80188,"51-60","w",10,"101","Mischling klein",,,,"K",2014,"m","braun"
80198,"81-90","w",7,"74","Malteser",,,,"K",2000,"w","weiss"
80201,"51-60","m",3,"31","Mischling klein",,,,"K",2007,"w","schwarz"
80204,"51-60","w",11,"111","Appenzeller",,,,"I",1998,"m","dreifarbig"
80205,"41-50","m",5,"51","Beauceron",,,,"I",2005,"m","black/tan"
80209,"81-90","m",10,"102","Bichon Havanais",,,,"K",2000,"w","weiss"
80217,"51-60","w",3,"33","Foxterrier",,,,"K",2007,"w","braun/weiss"
80223,"41-50","m",11,"111","Dachshund","Mischling",,,"K",2011,"w","hellbraun"
80226,"71-80","w",6,"61","Labrador Retriever",,,,"I",2010,"m","braun"
80230,"61-70","w",9,"92","Yorkshire Terrier",,,,"K",2006,"m","braun/weiss"
80230,"61-70","w",9,"92","Yorkshire Terrier","Mischling",,,"K",2006,"w","schwarz/braun"
80248,"51-60","m",4,"42","Jack Russel Terrier",,,,"K",2009,"w","braun/weiss"
80258,"51-60","m",11,"111","Dackel",,,,"K",2009,"w","rot/schwarz"
80260,"61-70","w",4,"44","Rottweiler",,"American Staffordshire Terrier",,"II",2005,"m","schwarz"
80267,"41-50","m",12,"122","Mischling klein",,,,"K",2006,"m","braun"
80272,"41-50","m",9,"91","Terrier","Mischling",,,,2007,"m","black/tan"
80306,"61-70","m",9,"91","Border Terrier",,,,"K",2005,"m","grau/braun"
80317,"81-90","w",7,"74","Windspiel",,,,"I",2001,"w","blue"
80319,"41-50","w",10,"102","Mischling klein",,,,"K",2006,"m","braun/schwarz"
80319,"41-50","w",10,"102","Dackel","Mischling",,,"K",2010,"w","tricolor"
80330,"71-80","w",12,"123","Husky",,"Appenzeller",,"I",2004,"w","braun/weiss"
80331,"51-60","w",10,"101","Collie",,,,"I",2007,"w","tricolor"
80335,"61-70","w",12,"122","Irish Setter",,"Golden Retriever",,"I",2008,"m","braun"
80335,"61-70","w",12,"122","Irish Setter",,"Golden Retriever",,"I",2008,"m","braun"
80351,"81-90","w",3,"33","Bearded Collie",,,,"I",2005,"w","braun/weiss"
80370,"51-60","m",12,"121","Deutscher Schäfer",,,,"I",2005,"m","schwarz/braun"
80380,"71-80","m",2,"23","Mischling klein",,,,"K",2007,"w","tricolor"
80382,"51-60","w",10,"102","Dachshund",,,,"K",2008,"m","braun"
80383,"81-90","w",4,"44","Bichon",,"West Highland White Terrier",,"K",1999,"w","weiss"
80399,"61-70","w",12,"123","Appenzeller","Mischling",,,"I",1998,"m","tricolor"
80404,"61-70","m",7,"72","Rottweiler",,,,"I",2005,"w","schwarz"
80406,"51-60","m",11,"111","Labrador Retriever",,,,"I",2008,"w","schwarz"
80407,"71-80","m",7,"72","Labrador Retriever",,,,"I",2012,"w","schwarz"
80410,"51-60","w",7,"73","Labrador Retriever",,,,"I",2012,"w","schwarz"
80411,"41-50","w",6,"61","Labrador Retriever",,,,"I",2005,"m","schwarz"
80412,"51-60","m",2,"21","Labrador Retriever",,,,"I",2012,"m","schwarz"
80416,"41-50","w",9,"91","Labrador Retriever",,,,"I",2008,"m","schwarz"
80427,"61-70","m",10,"102","Tschechoslowakischer Wolfshund","Mischling",,,"I",2000,"m","schwarz/braun"
80434,"61-70","w",7,"71","Pudel","Mischling",,,,2006,"m","schwarz"
80438,"71-80","m",7,"71","Deutscher Wachtel",,,,"I",2006,"w","rotbraun schimmel"
80472,"81-90","m",4,"41","Collie",,,,"I",2011,"m","beige/weiss"
80478,"71-80","w",2,"21","Cocker Spaniel",,,,"K",2003,"m","schwarz/weiss"
80491,"61-70","w",12,"123","Chihuahua",,,,"K",2006,"w","braun"
80493,"81-90","w",11,"119","Shih Tzu",,,,"K",2006,"m","weiss/schwarz"
80494,"81-90","w",2,"21","Dachshund",,,,"K",2004,"m","braun/schwarz"
80500,"51-60","m",11,"111","Boxer",,,,"I",2010,"w","goldbraun"
80500,"51-60","m",11,"111","Deutscher Boxer",,,,"I",2004,"m","gelb"
80509,"71-80","w",2,"24","Boxer",,,,"I",2011,"w","gelb"
80511,"71-80","m",1,"11","Tervueren",,"Belgischer Schäfer",,"I",2001,"m","fauve"
80513,"51-60","w",3,"33","Parson Jack Russell Terrier",,,,"K",2011,"w","tricolor"
